,label
2,-1
8,1
9,1
10,1
12,1
14,1
15,1
17,1
19,1
20,1
21,1
24,1
25,1
30,1
31,1
32,1
33,1
36,1
37,1
38,1
39,1
43,1
44,1
45,1
47,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
57,1
58,1
59,1
60,1
62,1
65,1
66,1
67,1
70,1
75,1
76,1
77,1
78,1
79,1
81,1
83,1
84,1
88,-1
89,-1
91,-1
94,-1
102,1
103,1
104,1
105,1
108,1
109,1
110,1
111,1
112,1
115,-1
116,-1
117,-1
119,1
122,1
124,1
125,1
126,1
128,1
129,1
130,1
132,1
133,1
134,1
135,1
139,1
141,1
142,1
143,1
144,1
145,1
157,-1
159,-1
162,-1
168,-1
169,1
173,1
175,1
176,1
177,1
178,1
183,1
184,1
186,1
187,1
190,1
192,1
193,1
195,1
196,1
201,1
203,1
204,1
205,1
208,1
209,1
211,1
212,1
213,1
214,1
215,1
216,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
228,-1
231,1
233,1
234,1
235,1
240,-1
243,-1
248,-1
253,-1
273,1
274,1
277,1
278,1
279,1
280,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
292,1
293,1
296,1
297,1
299,1
300,1
301,1
302,1
303,1
307,1
308,1
311,1
312,1
313,1
314,1
315,1
318,1
319,1
320,1
325,1
327,1
329,1
334,1
336,1
337,1
338,1
339,1
340,1
341,1
343,1
344,1
347,1
348,1
350,1
351,1
357,1
359,1
360,1
363,1
366,1
370,1
373,1
374,1
375,1
376,1
379,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
393,1
394,1
395,1
398,1
399,1
404,1
405,1
406,1
407,1
408,1
413,1
416,1
422,1
423,1
424,1
425,1
427,1
428,1
431,1
433,1
434,1
438,1
439,1
441,1
442,1
444,1
446,1
447,1
448,1
449,1
451,1
452,1
454,1
455,1
457,1
459,1
460,1
461,1
467,1
468,1
469,1
472,1
476,1
480,1
481,1
483,1
484,1
486,1
487,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
498,1
501,1
503,1
505,1
506,1
507,1
508,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
520,1
522,1
523,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
543,1
545,1
546,1
547,1
549,1
550,1
551,1
552,1
554,1
555,1
557,1
558,1
559,1
560,1
565,1
566,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
586,1
587,1
588,1
589,1
592,1
593,1
594,1
596,1
599,1
600,1
601,1
603,1
604,1
605,1
607,1
608,1
609,1
611,1
612,1
613,1
615,1
617,1
619,1
620,1
621,1
623,1
624,1
625,1
626,1
627,1
628,1
630,1
631,1
633,1
634,1
635,1
638,1
639,1
640,1
642,1
643,1
644,1
647,1
650,1
651,1
654,1
658,1
659,1
660,1
662,1
663,1
664,1
665,1
669,1
670,1
672,1
673,1
675,1
676,1
677,1
679,1
685,1
686,1
688,1
689,1
691,1
694,1
696,1
697,1
698,1
699,1
700,1
703,1
705,1
706,1
708,1
709,1
710,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
724,1
728,1
730,1
732,1
735,1
736,1
737,1
738,1
742,1
744,-1
745,-1
746,-1
747,1
749,1
750,1
751,1
754,-1
760,-1
771,-1
772,-1
784,-1
791,-1
799,-1
803,-1
804,-1
816,-1
817,-1
824,-1
833,-1
834,-1
849,-1
881,-1
885,-1
906,-1
908,-1
917,-1
920,-1
922,-1
924,-1
938,-1
941,-1
942,-1
946,-1
948,-1
951,-1
957,-1
958,-1
